date,merchant,amount,description,category,confidence,reason,source,is_anomaly,anomaly_reason,anomaly_score,ai_anomaly_explanation,expense_type,tags,merchant_type,merchant_normalized,recurring_hint,recurring_name,is_recurring,recurring_group
2025-01-01,Starbucks,6.45,Coffee,Food,0.9,Matched keyword rule for Food,rule,False,,0.0,,purchase,,coffee,starbucks,False,starbucks,False,
2025-01-02,Uber,22.1,Ride to airport,Transportation,0.9,Matched keyword rule for Transportation,rule,False,,0.0,,purchase,,ride_share,uber,False,uber,False,
2025-01-03,Netflix,15.99,Monthly subscription,Subscriptions,0.9,Matched keyword rule for Subscriptions,rule,False,,0.0,,subscription,recurring_candidate,streaming,netflix,True,netflix,False,
2025-01-04,Whole Foods,124.5,Groceries,Uncategorized,0.3,"Rule confidence below threshold, but LLM is unavailable/disabled",rule_no_llm,False,,0.0,,purchase,,grocery,wholefoods,False,wholefoods,False,
2025-01-05,Shell Gas,45.3,Fuel,Transportation,0.9,Matched keyword rule for Transportation,rule,False,,0.0,,purchase,,utilities,shellgas,False,shellgas,False,
2025-01-06,Amazon,89.99,Electronics purchase,Uncategorized,0.3,"Rule confidence below threshold, but LLM is unavailable/disabled",rule_no_llm,False,,0.0,,purchase,,retail,amazon,False,amazon,False,
2025-01-07,Spotify,9.99,Music subscription,Subscriptions,0.9,Matched keyword rule for Subscriptions,rule,False,,0.0,,subscription,recurring_candidate,streaming,spotify,True,spotify,False,
2025-01-08,Target,56.75,Household items,Uncategorized,0.3,"Rule confidence below threshold, but LLM is unavailable/disabled",rule_no_llm,False,,0.0,,purchase,,retail,target,False,target,False,
2025-01-09,Apple Store,199.0,New headphones,Uncategorized,0.3,"Rule confidence below threshold, but LLM is unavailable/disabled",rule_no_llm,True,"IQR outlier: Amount $199.00 outside range [$-93.97, $190.93]",0.11326781326781321,"IQR outlier: Amount $199.00 outside range [$-93.97, $190.93]",subscription,recurring_candidate,retail,applestore,True,apple,False,
2025-01-10,McDonald's,8.25,Lunch,Food,0.9,Matched keyword rule for Food,rule,False,,0.0,,purchase,,dining,mcdonalds,False,mcdonalds,False,
2026-01-11,Dunkin',4.5,Donut and coffee,Uncategorized,0.3,"Rule confidence below threshold, but LLM is unavailable/disabled",rule_no_llm,False,,0.0,,purchase,,coffee,dunkin,False,dunkin,False,
2026-01-12,Airbnb,250.0,Weekend getaway,Uncategorized,0.3,"Rule confidence below threshold, but LLM is unavailable/disabled",rule_no_llm,True,"IQR outlier: Amount $250.00 outside range [$-93.97, $190.93]",0.8293085293085293,"IQR outlier: Amount $250.00 outside range [$-93.97, $190.93]",purchase,,travel,airbnb,False,airbnb,False,
2026-01-20,Costco,78.2,Bulk groceries,Uncategorized,0.3,"Rule confidence below threshold, but LLM is unavailable/disabled",rule_no_llm,False,,0.0,,purchase,,grocery,costco,False,costco,False,
2026-01-23,Unknown Merchant,42.0,Payment,Uncategorized,0.3,"Rule confidence below threshold, but LLM is unavailable/disabled",rule_no_llm,True,Unknown/suspicious merchant: 'Unknown Merchant',1.0,Unknown/suspicious merchant: 'Unknown Merchant',purchase,,unknown,unknownmerchant,False,unknownmerchant,False,
2022-01-24,Square,15.75,Card transaction,Uncategorized,0.3,"Rule confidence below threshold, but LLM is unavailable/disabled",rule_no_llm,True,Unknown/suspicious merchant: 'Square',1.0,Unknown/suspicious merchant: 'Square',purchase,,unknown,square,False,square,False,
